,unit_name,report_date,unit_work,unit_parks,unit_retail,unit_grocery,unit_transit,unit_residential,subunit_name,subunit_work,subunit_parks,subunit_retail,subunit_grocery,subunit_transit,subunit_residential
2819,Alabama,2020-04-05 00:00:00+00:00,-0.36,,-0.5,-0.18,-0.4,0.12,Wilcox County,-0.38,,-0.61,-0.17,,
66,Alaska,2020-03-29 00:00:00+00:00,-0.33,0.18,-0.48,-0.27,-0.55,0.1,Anchorage,-0.39,0.51,-0.49,-0.25,-0.53,0.11
2820,Alaska,2020-04-05 00:00:00+00:00,-0.32,0.29,-0.41,-0.17,-0.52,,Anchorage,-0.4,0.58,-0.44,-0.13,-0.51,0.1
67,Alaska,2020-03-29 00:00:00+00:00,-0.33,0.18,-0.48,-0.27,-0.55,0.1,Bethel,-0.19,,,-0.26,,
2821,Alaska,2020-04-05 00:00:00+00:00,-0.32,0.29,-0.41,-0.17,-0.52,,Bethel,-0.22,,,-0.23,,
68,Alaska,2020-03-29 00:00:00+00:00,-0.33,0.18,-0.48,-0.27,-0.55,0.1,Fairbanks North Star,-0.32,,-0.48,-0.34,-0.76,0.12
2822,Alaska,2020-04-05 00:00:00+00:00,-0.32,0.29,-0.41,-0.17,-0.52,,Fairbanks North Star,-0.33,,-0.42,-0.3,-0.73,0.2
69,Alaska,2020-03-29 00:00:00+00:00,-0.33,0.18,-0.48,-0.27,-0.55,0.1,Juneau,-0.31,-0.34,-0.61,-0.34,-0.66,
2823,Alaska,2020-04-05 00:00:00+00:00,-0.32,0.29,-0.41,-0.17,-0.52,,Juneau,-0.29,-0.34,-0.52,-0.24,-0.57,
70,Alaska,2020-03-29 00:00:00+00:00,-0.33,0.18,-0.48,-0.27,-0.55,0.1,Kenai Peninsula Borough,-0.24,,-0.49,-0.28,,0.14
2824,Alaska,2020-04-05 00:00:00+00:00,-0.32,0.29,-0.41,-0.17,-0.52,,Kenai Peninsula Borough,-0.21,,-0.37,-0.15,,0.14
71,Alaska,2020-03-29 00:00:00+00:00,-0.33,0.18,-0.48,-0.27,-0.55,0.1,Ketchikan Gateway,-0.32,,-0.48,-0.38,,
2825,Alaska,2020-04-05 00:00:00+00:00,-0.32,0.29,-0.41,-0.17,-0.52,,Ketchikan Gateway,-0.4,,-0.32,-0.38,,
72,Alaska,2020-03-29 00:00:00+00:00,-0.33,0.18,-0.48,-0.27,-0.55,0.1,Kodiak Island,-0.23,,-0.5,,,
2826,Alaska,2020-04-05 00:00:00+00:00,-0.32,0.29,-0.41,-0.17,-0.52,,Kodiak Island,-0.23,,-0.5,,,
73,Alaska,2020-03-29 00:00:00+00:00,-0.33,0.18,-0.48,-0.27,-0.55,0.1,Matanuska-Susitna,-0.33,,-0.48,-0.33,,0.1
2827,Alaska,2020-04-05 00:00:00+00:00,-0.32,0.29,-0.41,-0.17,-0.52,,Matanuska-Susitna,-0.34,,-0.34,-0.2,,0.2
74,Alaska,2020-03-29 00:00:00+00:00,-0.33,0.18,-0.48,-0.27,-0.55,0.1,North Slope,,,,,,
2828,Alaska,2020-04-05 00:00:00+00:00,-0.32,0.29,-0.41,-0.17,-0.52,,North Slope,-0.18,,,,,
75,Alaska,2020-03-29 00:00:00+00:00,-0.33,0.18,-0.48,-0.27,-0.55,0.1,Sitka,-0.31,0.8,,,,
2829,Alaska,2020-04-05 00:00:00+00:00,-0.32,0.29,-0.41,-0.17,-0.52,,Sitka,-0.29,0.8,,,,
76,Alaska,2020-03-29 00:00:00+00:00,-0.33,0.18,-0.48,-0.27,-0.55,0.1,Southeast Fairbanks,-0.35,,,,,
2830,Alaska,2020-04-05 00:00:00+00:00,-0.32,0.29,-0.41,-0.17,-0.52,,Southeast Fairbanks,-0.35,,,,,
77,Arizona,2020-03-29 00:00:00+00:00,-0.33,,-0.4,-0.17,-0.41,0.1,Apache County,-0.27,-0.35,-0.38,-0.13,,0.2
2831,Arizona,2020-04-05 00:00:00+00:00,-0.37,-0.23,-0.43,-0.19,-0.47,0.11,Apache County,-0.3,-0.23,-0.38,,-0.16,0.17
78,Arizona,2020-03-29 00:00:00+00:00,-0.33,,-0.4,-0.17,-0.41,0.1,Cochise County,-0.29,-0.14,-0.37,-0.21,-0.23,
2832,Arizona,2020-04-05 00:00:00+00:00,-0.37,-0.23,-0.43,-0.19,-0.47,0.11,Cochise County,-0.34,-0.18,-0.41,-0.22,-0.3,
79,Arizona,2020-03-29 00:00:00+00:00,-0.33,,-0.4,-0.17,-0.41,0.1,Coconino County,-0.38,-0.25,-0.55,-0.24,-0.34,0.12
2833,Arizona,2020-04-05 00:00:00+00:00,-0.37,-0.23,-0.43,-0.19,-0.47,0.11,Coconino County,-0.41,-0.34,-0.59,-0.27,-0.36,0.13
80,Arizona,2020-03-29 00:00:00+00:00,-0.33,,-0.4,-0.17,-0.41,0.1,Gila County,-0.28,0.95,-0.14,0.16,,0.11
2834,Arizona,2020-04-05 00:00:00+00:00,-0.37,-0.23,-0.43,-0.19,-0.47,0.11,Gila County,-0.32,0.72,-0.21,,,0.11
81,Arizona,2020-03-29 00:00:00+00:00,-0.33,,-0.4,-0.17,-0.41,0.1,Graham County,-0.19,-0.63,-0.21,0.14,,0.11
2835,Arizona,2020-04-05 00:00:00+00:00,-0.37,-0.23,-0.43,-0.19,-0.47,0.11,Graham County,-0.24,-0.63,-0.17,0.17,,0.12
82,Arizona,2020-03-29 00:00:00+00:00,-0.33,,-0.4,-0.17,-0.41,0.1,Greenlee County,-0.28,,-0.37,-0.1,,
2836,Arizona,2020-04-05 00:00:00+00:00,-0.37,-0.23,-0.43,-0.19,-0.47,0.11,Greenlee County,-0.3,,-0.65,-0.13,,
83,Arizona,2020-03-29 00:00:00+00:00,-0.33,,-0.4,-0.17,-0.41,0.1,La Paz County,-0.21,-0.54,-0.61,-0.35,-0.5,
2837,Arizona,2020-04-05 00:00:00+00:00,-0.37,-0.23,-0.43,-0.19,-0.47,0.11,La Paz County,-0.23,-0.65,-0.64,-0.42,-0.54,
84,Arizona,2020-03-29 00:00:00+00:00,-0.33,,-0.4,-0.17,-0.41,0.1,Maricopa County,-0.33,,-0.4,-0.18,-0.44,0.1
2838,Arizona,2020-04-05 00:00:00+00:00,-0.37,-0.23,-0.43,-0.19,-0.47,0.11,Maricopa County,-0.38,-0.26,-0.44,-0.21,-0.5,0.11
85,Arizona,2020-03-29 00:00:00+00:00,-0.33,,-0.4,-0.17,-0.41,0.1,Mohave County,-0.37,-0.13,-0.36,-0.13,-0.23,
2839,Arizona,2020-04-05 00:00:00+00:00,-0.37,-0.23,-0.43,-0.19,-0.47,0.11,Mohave County,-0.39,-0.27,-0.39,-0.11,-0.3,
86,Arizona,2020-03-29 00:00:00+00:00,-0.33,,-0.4,-0.17,-0.41,0.1,Navajo County,-0.28,0.11,-0.29,,-0.12,0.1
2840,Arizona,2020-04-05 00:00:00+00:00,-0.37,-0.23,-0.43,-0.19,-0.47,0.11,Navajo County,-0.34,,-0.35,-0.15,-0.21,0.11
87,Arizona,2020-03-29 00:00:00+00:00,-0.33,,-0.4,-0.17,-0.41,0.1,Pima County,-0.36,-0.16,-0.43,-0.16,-0.43,0.1
2841,Arizona,2020-04-05 00:00:00+00:00,-0.37,-0.23,-0.43,-0.19,-0.47,0.11,Pima County,-0.39,-0.27,-0.45,-0.16,-0.48,0.11
